Incoming message from Client is : 55.0	0.0	0.0
Incoming message from Client is : -14.255308765876135	-1.268711701482867	17.69999999999998	
Outgoing message to Client is : -6.982439139541227	-1.2925264471137468	17.799999999999983	

Incoming message from Client is : -6.982439139541227	-1.2925264471137468	17.799999999999983	
Outgoing message to Client is : 0.42694813690700295	-1.2910666774908353	17.899999999999984	

Incoming message from Client is : 0.42694813690700295	-1.2910666774908353	17.899999999999984	
Outgoing message to Client is : 7.827967307236632	-1.2643850908053313	17.999999999999986	

Incoming message from Client is : 7.827967307236632	-1.2643850908053313	17.999999999999986	
Outgoing message to Client is : 15.076034706757639	-1.2134306083075594	18.099999999999987	

